product_name,category,price,quantity,total_sales,discount,order_date,customer_rating,payment_method,supplier_name,profit,customer_segment,region,city,customer_id,product_id,order_id,supplier_id
Table Lamp,Home & Kitchen,38144.67,2,76289.34,14,2024/07/15,3.1,Net Banking,Zojirushi,15257.868,Wholesale,North,Delhi,CUSID0034,PROD0034,ORD00034,SUPID0034
Laptop,Electronics,49355.45,2,98710.9,20,2024/05/01,3.5,COD,Panasonic,19742.18,Wholesale,South,Bengaluru,CUSID0035,PROD0035,ORD00035,SUPID0035
Shampoo,Beauty,12945.96,3,38837.88,19,2024/06/10,1.4,Wallet,Shiseido,7767.576,Online,North,Jaipur,CUSID0036,PROD0036,ORD00036,SUPID0036
Perfume,Beauty,34927.79,4,139711.16,19,2024/06/27,1.1,Credit Card,Shiseido,27942.232,Retail,East,Kolkata,CUSID0037,PROD0037,ORD00037,SUPID0037
Table Lamp,Home & Kitchen,3677.4,3,11032.2,23,2024/07/31,3.7,UPI,Zojirushi,2206.44,Online,East,Kolkata,CUSID0038,PROD0038,ORD00038,SUPID0038
Comic Book,Books,37004.54,4,148018.16,16,2024/10/26,4,Debit Card,Kodansha,29603.632,Wholesale,West,Ahemdabad,CUSID0039,PROD0039,ORD00039,SUPID0039
Cookbook,Books,27961.78,5,139808.9,27,2024/02/23,4,Net Banking,Kodansha,27961.78,Retail,North,Jaipur,CUSID0040,PROD0040,ORD00040,SUPID0040
Comic Book,Books,2655.8,2,5311.6,24,2024/02/12,3.7,Net Banking,Kodansha,1062.32,Retail,South,Bengaluru,CUSID0041,PROD0041,ORD00041,SUPID0041
Headphones,Electronics,965.51,4,3862.04,29,2024/06/06,3.5,COD,Sony,772.408,Wholesale,West,Mumbai,CUSID0042,PROD0042,ORD00042,SUPID0042
Bedsheet,Home & Kitchen,2980.08,3,8940.24,7,2024/12/14,4.2,Net Banking,Zojirushi,1788.048,Wholesale,West,Mumbai,CUSID0043,PROD0043,ORD00043,SUPID0043
Mixer Grinder,Home & Kitchen,8598.58,1,8598.58,9,2024/10/09,1.1,Debit Card,Zojirushi,1719.716,Wholesale,West,Mumbai,CUSID0044,PROD0044,ORD00044,SUPID0044
Shampoo,Beauty,31850.15,2,63700.3,23,2024/04/14,2.8,Net Banking,Shiseido,12740.06,Online,South,Chennai,CUSID0045,PROD0045,ORD00045,SUPID0045
Smartwatch,Electronics,33443.32,5,167216.6,11,2024/02/15,2.4,UPI,Sony,33443.32,Online,West,Mumbai,CUSID0046,PROD0046,ORD00046,SUPID0046
Jacket,Clothing,29592.5,5,147962.5,25,2024/07/25,4.7,Net Banking,Uniqlo,29592.5,Retail,South,Chennai,CUSID0047,PROD0047,ORD00047,SUPID0047
Hair Dryer,Beauty,11187.38,4,44749.52,13,2024/06/22,2.3,Wallet,Shiseido,8949.904,Wholesale,West,Ahemdabad,CUSID0048,PROD0048,ORD00048,SUPID0048
Bedsheet,Home & Kitchen,23898.58,5,119492.9,11,2024/11/28,3.3,Credit Card,Zojirushi,23898.58,Retail,South,Chennai,CUSID0049,PROD0049,ORD00049,SUPID0049
Comic Book,Books,1391.49,4,5565.96,22,2024/08/11,4.5,Credit Card,Kodansha,1113.192,Retail,East,Kolkata,CUSID0050,PROD0050,ORD00050,SUPID0050
Jeans,Clothing,18607.69,5,93038.45,8,2024/09/10,2.4,COD,Uniqlo,18607.69,Retail,East,Kolkata,CUSID0051,PROD0051,ORD00051,SUPID0051
Fiction Novel,Books,46224.88,3,138674.64,29,2024/10/30,4.1,Credit Card,Kodansha,27734.928,Retail,East,Kolkata,CUSID0052,PROD0052,ORD00052,SUPID0052
Tablet,Electronics,11864.13,5,59320.65,18,2024/11/11,1.3,Debit Card,Sony,11864.13,Wholesale,East,Kolkata,CUSID0053,PROD0053,ORD00053,SUPID0053
Comic Book,Books,7757.2,5,38786,22,2024/11/22,2.2,Wallet,Kodansha,7757.2,Retail,East,Kolkata,CUSID0054,PROD0054,ORD00054,SUPID0054
Smartwatch,Electronics,29745,1,29745,30,2024/10/04,3.6,UPI,Panasonic,5949,Wholesale,West,Ahemdabad,CUSID0055,PROD0055,ORD00055,SUPID0055
Jeans,Clothing,39176.54,5,195882.7,13,2024/04/04,4.1,Net Banking,Uniqlo,39176.54,Wholesale,West,Mumbai,CUSID0056,PROD0056,ORD00056,SUPID0056
Jeans,Clothing,18075.19,5,90375.95,30,2024/09/03,1.7,Debit Card,Uniqlo,18075.19,Online,West,Mumbai,CUSID0057,PROD0057,ORD00057,SUPID0057
Self-Help Book,Books,18830.59,4,75322.36,25,2024/05/16,3.6,Net Banking,Kodansha,15064.472,Wholesale,South,Bengaluru,CUSID0058,PROD0058,ORD00058,SUPID0058
Headphones,Electronics,38476.48,4,153905.92,6,2024/08/30,2,Credit Card,Sony,30781.184,Online,South,Bengaluru,CUSID0059,PROD0059,ORD00059,SUPID0059
Laptop,Electronics,27120.36,2,54240.72,24,2024/06/13,3.8,Credit Card,Sony,10848.144,Wholesale,South,Bengaluru,CUSID0060,PROD0060,ORD00060,SUPID0060
Cookbook,Books,31627,5,158135,19,2024/07/28,3.1,Debit Card,Kodansha,31627,Wholesale,South,Chennai,CUSID0061,PROD0061,ORD00061,SUPID0061
Comic Book,Books,14505.79,3,43517.37,11,2024/07/10,3.9,UPI,Kodansha,8703.474,Wholesale,East,Kolkata,CUSID0062,PROD0062,ORD00062,SUPID0062
Smartwatch,Electronics,15229.67,3,45689.01,16,2024/07/21,2.7,Credit Card,Panasonic,9137.802,Online,East,Kolkata,CUSID0063,PROD0063,ORD00063,SUPID0063
Table Lamp,Home & Kitchen,2158.12,3,6474.36,12,2025/01/02,3.4,COD,Zojirushi,1294.872,Online,East,Kolkata,CUSID0064,PROD0064,ORD00064,SUPID0064
Lipstick,Beauty,11106.19,2,22212.38,19,2024/12/22,1.1,Wallet,Shiseido,4442.476,Retail,North,Jaipur,CUSID0065,PROD0065,ORD00065,SUPID0065
Educational Book,Books,21690.55,2,43381.1,7,2024/11/28,1.9,Credit Card,Kodansha,8676.22,Online,West,Mumbai,CUSID0066,PROD0066,ORD00066,SUPID0066
Hair Dryer,Beauty,4225.69,4,16902.76,18,2024/05/06,2.5,Credit Card,Shiseido,3380.552,Online,South,Chennai,CUSID0067,PROD0067,ORD00067,SUPID0067
Smartwatch,Electronics,23621.02,1,23621.02,21,2024/02/26,4.7,Wallet,Sony,4724.204,Online,South,Bengaluru,CUSID0068,PROD0068,ORD00068,SUPID0068
Educational Book,Books,38937.92,3,116813.76,8,2024/04/08,3.4,Credit Card,Kodansha,23362.752,Online,East,Kolkata,CUSID0069,PROD0069,ORD00069,SUPID0069
Cookware Set,Home & Kitchen,2707.97,1,2707.97,22,2024/04/28,1.2,Net Banking,Zojirushi,541.594,Retail,South,Chennai,CUSID0070,PROD0070,ORD00070,SUPID0070
Face Cream,Beauty,23715.42,4,94861.68,12,2024/03/24,2,COD,Shiseido,18972.336,Online,South,Bengaluru,CUSID0071,PROD0071,ORD00071,SUPID0071
Tablet,Electronics,9083.5,2,18167,8,2024/07/05,1.8,UPI,Sony,3633.4,Wholesale,West,Mumbai,CUSID0072,PROD0072,ORD00072,SUPID0072
Lipstick,Beauty,26379.35,4,105517.4,6,2024/09/07,3,UPI,Shiseido,21103.48,Wholesale,East,Kolkata,CUSID0073,PROD0073,ORD00073,SUPID0073
Jacket,Clothing,34023.96,3,102071.88,10,2024/02/13,4.6,Credit Card,Uniqlo,20414.376,Online,West,Mumbai,CUSID0074,PROD0074,ORD00074,SUPID0074
Sneakers,Clothing,1542.1,4,6168.4,26,2024/08/25,1,Credit Card,Uniqlo,1233.68,Online,North,Jaipur,CUSID0075,PROD0075,ORD00075,SUPID0075
Fiction Novel,Books,42981.08,3,128943.24,14,2024/03/25,3.8,COD,Kodansha,25788.648,Wholesale,North,Jaipur,CUSID0076,PROD0076,ORD00076,SUPID0076
Sofa Cover,Home & Kitchen,46338.29,5,231691.45,8,2024/03/22,3.4,COD,Zojirushi,46338.29,Wholesale,North,Delhi,CUSID0077,PROD0077,ORD00077,SUPID0077
Headphones,Electronics,34161.44,1,34161.44,26,2024/06/30,2.4,Wallet,Panasonic,6832.288,Retail,East,Kolkata,CUSID0078,PROD0078,ORD00078,SUPID0078
Lipstick,Beauty,21317.31,5,106586.55,22,2024/07/16,4,Credit Card,Shiseido,21317.31,Wholesale,South,Chennai,CUSID0079,PROD0079,ORD00079,SUPID0079
Face Cream,Beauty,46011.84,4,184047.36,30,2024/05/01,3.3,COD,Shiseido,36809.472,Wholesale,East,Kolkata,CUSID0080,PROD0080,ORD00080,SUPID0080
Perfume,Beauty,2097.99,1,2097.99,16,2025/02/09,3.2,Debit Card,Shiseido,419.598,Online,East,Kolkata,CUSID0081,PROD0081,ORD00081,SUPID0081
Smartphone,Electronics,17104.91,3,51314.73,6,2024/12/10,2.7,Credit Card,Sony,10262.946,Wholesale,South,Bengaluru,CUSID0082,PROD0082,ORD00082,SUPID0082
Sofa Cover,Home & Kitchen,29326.6,3,87979.8,14,2024/11/07,4.9,Credit Card,Zojirushi,17595.96,Retail,West,Ahemdabad,CUSID0083,PROD0083,ORD00083,SUPID0083
Headphones,Electronics,28892.73,4,115570.92,8,2024/11/11,1.3,COD,Sony,23114.184,Wholesale,North,Jaipur,CUSID0084,PROD0084,ORD00084,SUPID0084
Tablet,Electronics,35033.12,4,140132.48,18,2024/12/03,4.7,UPI,Panasonic,28026.496,Online,West,Mumbai,CUSID0085,PROD0085,ORD00085,SUPID0085
Jeans,Clothing,40069.3,3,120207.9,20,2024/10/27,2.4,Debit Card,Uniqlo,24041.58,Online,North,Delhi,CUSID0086,PROD0086,ORD00086,SUPID0086
Comic Book,Books,20613.14,4,82452.56,19,2024/05/30,3.4,UPI,Kodansha,16490.512,Wholesale,East,Kolkata,CUSID0087,PROD0087,ORD00087,SUPID0087
Cookware Set,Home & Kitchen,3432,5,17160,12,2024/04/12,3.4,Credit Card,Zojirushi,3432,Online,North,Jaipur,CUSID0088,PROD0088,ORD00088,SUPID0088
Shampoo,Beauty,25752.65,3,77257.95,18,2024/06/28,2.5,Net Banking,Shiseido,15451.59,Retail,East,Kolkata,CUSID0089,PROD0089,ORD00089,SUPID0089
Smartwatch,Electronics,30238.47,2,60476.94,27,2024/09/24,4,Net Banking,Sony,12095.388,Retail,West,Ahemdabad,CUSID0090,PROD0090,ORD00090,SUPID0090
Bedsheet,Home & Kitchen,34293.38,4,137173.52,29,2024/04/01,4.4,Net Banking,Zojirushi,27434.704,Wholesale,East,Kolkata,CUSID0091,PROD0091,ORD00091,SUPID0091
Perfume,Beauty,19498.32,2,38996.64,12,2024/11/23,3.6,Credit Card,Shiseido,7799.328,Wholesale,West,Ahemdabad,CUSID0092,PROD0092,ORD00092,SUPID0092
T-Shirt,Clothing,39355.59,1,39355.59,25,2024/10/22,2.9,Wallet,Uniqlo,7871.118,Wholesale,South,Chennai,CUSID0093,PROD0093,ORD00093,SUPID0093
Cookbook,Books,26575.86,2,53151.72,20,2024/05/23,2,Wallet,Kodansha,10630.344,Online,South,Bengaluru,CUSID0094,PROD0094,ORD00094,SUPID0094
Headphones,Electronics,12506.31,3,37518.93,17,2025/01/12,1.4,UPI,Panasonic,7503.786,Retail,South,Bengaluru,CUSID0095,PROD0095,ORD00095,SUPID0095
T-Shirt,Clothing,19180.77,3,57542.31,22,2025/01/28,3.9,Wallet,Uniqlo,11508.462,Retail,East,Kolkata,CUSID0096,PROD0096,ORD00096,SUPID0096
Bedsheet,Home & Kitchen,8877.51,5,44387.55,19,2024/05/31,2.5,UPI,Zojirushi,8877.51,Online,South,Chennai,CUSID0097,PROD0097,ORD00097,SUPID0097
Sneakers,Clothing,32348.92,2,64697.84,25,2025/02/02,3.1,Credit Card,Uniqlo,12939.568,Retail,North,Delhi,CUSID0098,PROD0098,ORD00098,SUPID0098
Smartwatch,Electronics,19375.76,2,38751.52,28,2024/12/06,2.1,Credit Card,Panasonic,7750.304,Wholesale,West,Mumbai,CUSID0099,PROD0099,ORD00099,SUPID0099
Educational Book,Books,48157.93,1,48157.93,30,2024/09/05,2.4,COD,Kodansha,9631.586,Wholesale,West,Mumbai,CUSID0100,PROD0100,ORD00100,SUPID0100
Laptop,Electronics,4360.05,4,17440.2,29,2025/01/18,3.3,Wallet,Panasonic,3488.04,Wholesale,North,Delhi,CUSID0101,PROD0101,ORD00101,SUPID0101
Jacket,Clothing,38093.14,1,38093.14,17,2024/10/22,3,Credit Card,Uniqlo,7618.628,Retail,East,Kolkata,CUSID0102,PROD0102,ORD00102,SUPID0102
Educational Book,Books,32788.2,5,163941,13,2024/07/07,4,Credit Card,Kodansha,32788.2,Wholesale,East,Kolkata,CUSID0103,PROD0103,ORD00103,SUPID0103
Comic Book,Books,42715.55,1,42715.55,19,2024/07/14,4.4,Credit Card,Kodansha,8543.11,Online,West,Mumbai,CUSID0104,PROD0104,ORD00104,SUPID0104
Perfume,Beauty,28758.42,5,143792.1,17,2024/09/22,3.7,Net Banking,Shiseido,28758.42,Online,South,Chennai,CUSID0105,PROD0105,ORD00105,SUPID0105
Educational Book,Books,22555.21,2,45110.42,5,2024/05/10,4.3,UPI,Kodansha,9022.084,Retail,East,Kolkata,CUSID0106,PROD0106,ORD00106,SUPID0106
Dress,Clothing,33613.18,1,33613.18,29,2024/08/24,3.5,Wallet,Uniqlo,6722.636,Online,East,Kolkata,CUSID0107,PROD0107,ORD00107,SUPID0107
T-Shirt,Clothing,44639,5,223195,11,2024/05/04,1.1,Credit Card,Uniqlo,44639,Online,North,Jaipur,CUSID0108,PROD0108,ORD00108,SUPID0108
Jeans,Clothing,11785.4,5,58927,13,2024/06/25,1.6,Wallet,Uniqlo,11785.4,Retail,North,Delhi,CUSID0109,PROD0109,ORD00109,SUPID0109
Self-Help Book,Books,30826.72,1,30826.72,28,2024/08/04,3.9,UPI,Kodansha,6165.344,Wholesale,South,Bengaluru,CUSID0110,PROD0110,ORD00110,SUPID0110
Jacket,Clothing,35811.1,4,143244.4,5,2024/09/11,1.9,Net Banking,Uniqlo,28648.88,Wholesale,East,Kolkata,CUSID0111,PROD0111,ORD00111,SUPID0111
Shampoo,Beauty,45387.99,3,136163.97,16,2024/12/23,4.8,COD,Shiseido,27232.794,Wholesale,East,Kolkata,CUSID0112,PROD0112,ORD00112,SUPID0112
Sofa Cover,Home & Kitchen,39263.94,5,196319.7,12,2024/08/05,3.8,Wallet,Zojirushi,39263.94,Retail,North,Delhi,CUSID0113,PROD0113,ORD00113,SUPID0113
Educational Book,Books,19787.61,1,19787.61,28,2024/10/07,3.9,Debit Card,Kodansha,3957.522,Online,East,Kolkata,CUSID0114,PROD0114,ORD00114,SUPID0114
Jacket,Clothing,26219.99,4,104879.96,15,2024/03/14,2.1,Debit Card,Uniqlo,20975.992,Wholesale,West,Ahemdabad,CUSID0115,PROD0115,ORD00115,SUPID0115
Lipstick,Beauty,14286.02,4,57144.08,23,2024/05/25,3.7,UPI,Shiseido,11428.816,Wholesale,North,Jaipur,CUSID0116,PROD0116,ORD00116,SUPID0116
T-Shirt,Clothing,13019.07,3,39057.21,21,2025/02/02,2.8,Credit Card,Uniqlo,7811.442,Retail,South,Chennai,CUSID0117,PROD0117,ORD00117,SUPID0117
Face Cream,Beauty,43488.42,3,130465.26,12,2024/07/18,3,Net Banking,Shiseido,26093.052,Wholesale,North,Delhi,CUSID0118,PROD0118,ORD00118,SUPID0118
Cookbook,Books,30903.49,4,123613.96,7,2024/09/10,1.7,Net Banking,Kodansha,24722.792,Retail,East,Kolkata,CUSID0119,PROD0119,ORD00119,SUPID0119
Table Lamp,Home & Kitchen,37405.46,4,149621.84,7,2025/01/15,1.3,Wallet,Zojirushi,29924.368,Online,South,Bengaluru,CUSID0120,PROD0120,ORD00120,SUPID0120
Tablet,Electronics,30593.67,4,122374.68,5,2024/05/18,1.5,COD,Panasonic,24474.936,Retail,North,Delhi,CUSID0121,PROD0121,ORD00121,SUPID0121
Headphones,Electronics,28688.25,3,86064.75,9,2024/05/27,2.4,UPI,Sony,17212.95,Retail,West,Ahemdabad,CUSID0122,PROD0122,ORD00122,SUPID0122
Hair Dryer,Beauty,12158.96,3,36476.88,14,2024/03/21,1.1,Net Banking,Shiseido,7295.376,Retail,West,Mumbai,CUSID0123,PROD0123,ORD00123,SUPID0123
Headphones,Electronics,24500.05,3,73500.15,11,2024/04/21,4.4,Credit Card,Sony,14700.03,Retail,North,Jaipur,CUSID0124,PROD0124,ORD00124,SUPID0124
Table Lamp,Home & Kitchen,44412.88,3,133238.64,30,2024/09/13,1.4,COD,Zojirushi,26647.728,Online,West,Ahemdabad,CUSID0125,PROD0125,ORD00125,SUPID0125
Smartphone,Electronics,26615.97,3,79847.91,13,2024/08/26,3.6,Net Banking,Sony,15969.582,Online,West,Ahemdabad,CUSID0126,PROD0126,ORD00126,SUPID0126
Jacket,Clothing,3979.4,1,3979.4,11,2024/10/02,4.6,Debit Card,Uniqlo,795.88,Wholesale,West,Mumbai,CUSID0127,PROD0127,ORD00127,SUPID0127
Perfume,Beauty,49687.49,2,99374.98,13,2024/05/02,2.5,UPI,Shiseido,19874.996,Online,South,Bengaluru,CUSID0128,PROD0128,ORD00128,SUPID0128
Laptop,Electronics,11289.42,3,33868.26,12,2024/08/10,2.3,UPI,Sony,6773.652,Online,West,Ahemdabad,CUSID0129,PROD0129,ORD00129,SUPID0129
Dress,Clothing,27309.73,3,81929.19,16,2024/06/17,4,Net Banking,Uniqlo,16385.838,Wholesale,West,Ahemdabad,CUSID0130,PROD0130,ORD00130,SUPID0130
Laptop,Electronics,30374.4,5,151872,6,2025/01/11,1.8,Net Banking,Panasonic,30374.4,Online,West,Mumbai,CUSID0131,PROD0131,ORD00131,SUPID0131
Shampoo,Beauty,15486.41,4,61945.64,5,2024/04/20,5,COD,Shiseido,12389.128,Retail,South,Bengaluru,CUSID0132,PROD0132,ORD00132,SUPID0132
Smartwatch,Electronics,33698.34,1,33698.34,20,2024/08/10,4.2,Debit Card,Sony,6739.668,Retail,North,Delhi,CUSID0133,PROD0133,ORD00133,SUPID0133
Dress,Clothing,42987.64,5,214938.2,27,2024/03/30,3.7,Wallet,Uniqlo,42987.64,Wholesale,East,Kolkata,CUSID0134,PROD0134,ORD00134,SUPID0134
Smartwatch,Electronics,1104.25,5,5521.25,27,2024/11/28,3.8,UPI,Sony,1104.25,Wholesale,West,Mumbai,CUSID0135,PROD0135,ORD00135,SUPID0135
Jacket,Clothing,14043.16,4,56172.64,28,2024/06/01,3.1,Wallet,Uniqlo,11234.528,Wholesale,North,Jaipur,CUSID0136,PROD0136,ORD00136,SUPID0136
Cookbook,Books,24032.88,1,24032.88,9,2024/10/28,3.8,Wallet,Kodansha,4806.576,Retail,West,Ahemdabad,CUSID0137,PROD0137,ORD00137,SUPID0137
Face Cream,Beauty,32283.58,3,96850.74,7,2025/01/02,4.4,COD,Shiseido,19370.148,Online,South,Bengaluru,CUSID0138,PROD0138,ORD00138,SUPID0138
Lipstick,Beauty,3848.54,1,3848.54,16,2025/02/03,4.6,Net Banking,Shiseido,769.708,Retail,North,Jaipur,CUSID0139,PROD0139,ORD00139,SUPID0139
Cookware Set,Home & Kitchen,48175.48,1,48175.48,12,2024/07/10,1.5,COD,Zojirushi,9635.096,Wholesale,South,Chennai,CUSID0140,PROD0140,ORD00140,SUPID0140
Tablet,Electronics,2273.01,2,4546.02,26,2025/01/01,4.3,UPI,Panasonic,909.204,Online,West,Ahemdabad,CUSID0141,PROD0141,ORD00141,SUPID0141
Jacket,Clothing,48346.41,3,145039.23,7,2025/01/27,1.4,Debit Card,Uniqlo,29007.846,Online,West,Mumbai,CUSID0142,PROD0142,ORD00142,SUPID0142
Table Lamp,Home & Kitchen,8383.86,2,16767.72,5,2024/09/19,3.1,Wallet,Zojirushi,3353.544,Retail,South,Chennai,CUSID0143,PROD0143,ORD00143,SUPID0143
Shampoo,Beauty,15344.02,1,15344.02,7,2024/05/16,4,UPI,Shiseido,3068.804,Wholesale,East,Kolkata,CUSID0144,PROD0144,ORD00144,SUPID0144
Smartphone,Electronics,49142.57,4,196570.28,9,2024/03/04,4.9,UPI,Sony,39314.056,Retail,South,Chennai,CUSID0145,PROD0145,ORD00145,SUPID0145
Self-Help Book,Books,45182.27,5,225911.35,19,2024/03/30,3.1,Debit Card,Kodansha,45182.27,Online,West,Ahemdabad,CUSID0146,PROD0146,ORD00146,SUPID0146
Jacket,Clothing,18309.06,2,36618.12,18,2024/05/11,1.9,Net Banking,Uniqlo,7323.624,Retail,South,Bengaluru,CUSID0147,PROD0147,ORD00147,SUPID0147
Smartwatch,Electronics,33021.1,4,132084.4,7,2024/08/21,4.4,Debit Card,Sony,26416.88,Retail,East,Kolkata,CUSID0148,PROD0148,ORD00148,SUPID0148
Jacket,Clothing,42814.17,5,214070.85,5,2024/09/27,4.2,Debit Card,Uniqlo,42814.17,Wholesale,South,Bengaluru,CUSID0149,PROD0149,ORD00149,SUPID0149
Perfume,Beauty,5293.87,2,10587.74,9,2024/12/31,2.7,Debit Card,Shiseido,2117.548,Wholesale,East,Kolkata,CUSID0150,PROD0150,ORD00150,SUPID0150
Fiction Novel,Books,16596.58,5,82982.9,30,2025/02/02,2.1,UPI,Kodansha,16596.58,Online,East,Kolkata,CUSID0151,PROD0151,ORD00151,SUPID0151
Sneakers,Clothing,48940.95,1,48940.95,27,2024/02/20,1,Net Banking,Uniqlo,9788.19,Retail,South,Chennai,CUSID0152,PROD0152,ORD00152,SUPID0152
Jeans,Clothing,10059.45,5,50297.25,18,2024/03/23,4.3,COD,Uniqlo,10059.45,Retail,South,Bengaluru,CUSID0153,PROD0153,ORD00153,SUPID0153
